Speaker	Gender	Marking	Word	Fix
Male	feminine	Single	lvitsau	lvitsu
Male	feminine	Single	ulitsau	ulitsu
Male	feminine	Single	raznitsau	raznitsu
Male	feminine	Single	vysotau	vysotu
Male	feminine	Single	kolesnitsau	kolesnitsu
Male	feminine	Single	lampau	None
Male	feminine	Double	sobakaoj	sobakoj
Male	feminine	Double	babushkaoj	babushkoy
Male	feminine	Double	verjovkaoj	verjovkoj
Male	feminine	Double	pokhodkaoj	pohodkoj
Male	feminine	Double	karameljkaoj	karameljkoj
Male	feminine	Double	devushkaoj	devushkoj
Male	feminine	Double	rodinkaoj	rodinkoj
Male	feminine	Double	snezhinkaoj	snezhinkoj
Male	feminine	Double	vetochkaoj	vetochkoy
Male	feminine	Double	devochkaoj	devochkoy
Male	feminine	Double	khlopushkaoj	khlopushkoj
Male	feminine	Double	petrushkaoj	petrushkoy
Male	feminine	Double	trubochkaoj	trubochkoy
Male	feminine	Double	podushkaoj	podushkoj
Male	feminine	Double	jubochkaoj	jubochkoj
Male	feminine	Double	zazhigalkaoj	zazhigalkoy
Male	feminine	Double	makushkaoj	makushkoj
Male	feminine	Double	skamejkau	skamejkaoj
Male	feminine	Double	sobakau	sobaku
Male	feminine	Double	babushkau	babushku
Male	feminine	Double	obertkau	obertku
Male	feminine	Double	pokhodkau	pokhodku
Male	feminine	Double	karameljka	karameljkoj
Male	feminine	Double	rodinkau	rodinku
Male	feminine	Double	snezhinkau	snezhinku
Male	feminine	Double	vetochkau	vetochku
Male	feminine	Double	devochkau	devochku
Male	feminine	Double	khlopushkau	khlopushku
Male	feminine	Double	petrushkau	petrushku
Male	feminine	Double	trubochkau	trubochku
Male	feminine	Double	podushkau	podushku
Male	feminine	Double	jubochkau	jubochku
Male	feminine	Double	zazhigalkau	zazhigalku
Male	feminine	Double	makushkau	makushku
Male	feminine	Double	pogremushkaoj	pogremushkoj
Male	feminine	Double	pogremushkau	pogremushku
Female	masculine	Single	korenya	kkorenya
Female	masculine	Single	konya	konya
Female	masculine	Single	denya	denya
Female	masculine	Single	ogonya	ogonya
Female	masculine	Single	penya	penya
Female	masculine	Single	kamenya	kamenya
Female	masculine	Single	olenya	olenya
Female	masculine	Single	shampunya	shampunya
Female	masculine	Single	portfelya	portfelya
Female	masculine	Single	korablya	korablya
Female	masculine	Single	jantarya	yantarya
Female	masculine	Single	ryttsarya	ryttsarya
Female	masculine	Single	vratarya	vratarya
Female	masculine	Single	binoklya	binoklya
Female	masculine	Single	voplya	voplya
Female	masculine	Single	konyem	konyem
Female	masculine	Single	denyem	penyem
Female	masculine	Single	ogonyem	ognyem
Female	masculine	Single	penyem	penyem
Female	masculine	Single	kamenyem	kamenyem
Female	masculine	Single	olenyem	olenyem
Female	masculine	Single	urovenyem	urovenyem
Female	masculine	Single	shampunyem	shampunyem
Female	masculine	Single	portfelyem	portfelyem
Female	masculine	Single	kartofelyem	portfelyem
Female	masculine	Single	korablyem	korablyem
Female	masculine	Single	jantaryem	yantaryem
Female	masculine	Single	ryttsaryem	ryttsarya
Female	masculine	Single	vrataryem	vratarya
Female	masculine	Single	binoklyem	bynoklyem
Female	masculine	Double	uchitelya	uchitelya
Female	masculine	Double	voditelya	voditelya
Female	masculine	Double	dvigatelya	dvigatelya
Female	masculine	Double	spasitelya	spasitelya
Female	masculine	Double	khranitelya	khranitelya
Female	masculine	Double	pokupatelya	pokupatelya
Female	masculine	Double	smotritelya	smotritelya
Female	masculine	Double	sozdatelya	sozdatelya
Female	masculine	Double	sluzhitelya	sluzhitelya
Female	masculine	Double	osnovatelya	osnovatelya
Female	masculine	Double	muchitelya	muchitelya
Female	masculine	Double	predatelya	predatelyem
Female	masculine	Double	staratelya	staratelyem
Female	masculine	Double	mechtatelya	mechtatelyem
Female	masculine	Double	tselitelya	tselitelya
Female	masculine	Double	uchitelyem	uchitelyem
Female	masculine	Double	stroitelyem	stroitelyem
Female	masculine	Double	voditelyem	voditelyem
Female	masculine	Double	dvigatelyem	dvigatelyem
Female	masculine	Double	spasitelyem	spasitelyem
Female	masculine	Double	khranitelyem	khranitelyem
Female	masculine	Double	smotritelyem	smotritelyem
Female	masculine	Double	sozdatelyem	sozdatelyem
Female	masculine	Double	sluzhitelyem	sluzhitelyem
Female	masculine	Double	osnovatelyem	osnovatelyem
Female	masculine	Double	roditelyem	roditelyem
Female	masculine	Double	muchitelyem	muchitelyem
Female	masculine	Double	predatelyem	predatelyem
Female	masculine	Double	staratelyem	staratelyem
Female	masculine	Double	mechtatelyem	mechtatelyem
Male	masculine	Single	zverya	zverya
Male	masculine	Single	tsarya	tsarya
Male	masculine	Single	fonarya	fonarya
Male	masculine	Single	glukharya	glukharya
Male	masculine	Single	bezdarya	bezdarya
Male	masculine	Single	sukharya	sukharya
Male	masculine	Single	vikhrya	vihrya
Male	masculine	Single	zvonarya	zvonarya
Male	masculine	Single	janvarya	janvarya
Male	masculine	Single	aprelya	aprelya
Male	masculine	Single	gosudarya	gosudarya
Male	masculine	Single	slesarya	slesarya
Male	masculine	Single	ijunya	ijunya
Male	masculine	Single	injulya	ijulya
Male	masculine	Single	tjulya	tjulya
Male	masculine	Single	parolya	parolya
Male	masculine	Single	rublya	rublya
Male	masculine	Single	voplyem	voplem
Male	masculine	Single	zveryem	zveryem
Male	masculine	Single	bukvaryem	bukvaryem
Male	masculine	Single	tsaryem	tsaryem
Male	masculine	Single	fonaryem	fonaryem
Male	masculine	Single	glukharyem	glukharyem
Male	masculine	Single	bezdaryem	bezdaryem
Male	masculine	Single	vikhryem	vikhryem
Male	masculine	Single	zvonaryem	zvonaryem
Male	masculine	Single	janvaryem	janvarya
Male	masculine	Single	aprelyem	aprelyem
Male	masculine	Single	slesaryem	slesaryem
Male	masculine	Single	ijunyem	ijunyem
Male	masculine	Single	injulyem	ijulyem
Male	masculine	Single	tjulyem	tjulyem
Male	masculine	Single	parolyem	parolyem
Male	masculine	Single	rublyem	rublyem
Male	masculine	Double	grabitelya	grabitelya
Male	masculine	Double	tsenitelya	tsenitelya
Male	masculine	Double	pisatelya	pisatelya
Male	masculine	Double	obyvatelya	obyvatelya
Male	masculine	Double	pokoritelya	pokoritelya
Male	masculine	Double	sozidatelya	sozidatelya
Male	masculine	Double	slushatelya	slushatelya
Male	masculine	Double	vykljuchatelya	vikljuchatelya
Male	masculine	Double	osvezhitelya	osvezhitelya
Male	masculine	Double	pravitelya	pravitelya
Male	masculine	Double	dejatelya	dejatelya
Male	masculine	Double	dushitelya	dushitelya
Male	masculine	Double	obvinitelya	obvinitelya
Male	masculine	Double	razrushitelya	razrushitelya
Male	masculine	Double	potrebitelya	potrebitelya
Male	masculine	Double	blagodetelya	blagodetelya
Male	masculine	Double	rastochitelya	rastochitelya
Male	masculine	Double	tselitelyem	tselitelyem
Male	masculine	Double	grabitelyem	grabitelyem
Male	masculine	Double	tsenitelyem	tsenitelyem
Male	masculine	Double	pisatelyem	pisatelyem
Male	masculine	Double	obyvatelyem	obyvatelyem
Male	masculine	Double	ljubitelyem	ljubitelyem
Male	masculine	Double	pokoritelyem	pokoritelyem
Male	masculine	Double	sozidatelyem	sozidatelyem
Male	masculine	Double	slushatelyem	slushatelyem
Male	masculine	Double	vykljuchatelyem	vikljuchatelyem
Male	masculine	Double	pravitelyem	pravitelyem
Male	masculine	Double	dushitelyem	dushitelyem
Male	masculine	Double	obvinitelyem	obvinitelyem
Male	masculine	Double	razrushitelyem	razrushitelyem
Male	masculine	Double	potrebitelyem	potrebitelyem
Male	masculine	Double	blagodetelyem	blagodetelyem
Male	masculine	Double	rastochitelyem	rastochitelyem
